Event Name,Country Code,Gold,Silver,Bronze
Olympic Winter Games Beijing 2022,NOR,16,8,13
Olympic Winter Games Beijing 2022,GER,12,10,5
Olympic Winter Games Beijing 2022,USA,9,9,7
Olympic Winter Games Beijing 2022,CHN,9,4,2
Olympic Winter Games Beijing 2022,SWE,8,5,5
Olympic Winter Games Beijing 2022,NED,8,5,4
Olympic Winter Games Beijing 2022,AUT,7,7,4
Olympic Winter Games Beijing 2022,SUI,7,2,6
Olympic Winter Games Beijing 2022,ROC,5,12,15
Olympic Winter Games Beijing 2022,FRA,5,7,2
Olympic Winter Games Beijing 2022,CAN,4,8,14
Olympic Winter Games Beijing 2022,JPN,3,7,8
Olympic Winter Games Beijing 2022,ITA,2,7,8
Olympic Winter Games Beijing 2022,KOR,2,5,2
Olympic Winter Games Beijing 2022,SLO,2,3,2
Olympic Winter Games Beijing 2022,FIN,2,2,4
Olympic Winter Games Beijing 2022,NZL,2,1,0
Olympic Winter Games Beijing 2022,AUS,1,2,1
Olympic Winter Games Beijing 2022,GBR,1,1,0
Olympic Winter Games Beijing 2022,HUN,1,0,2
Olympic Winter Games Beijing 2022,BEL,1,0,1
Olympic Winter Games Beijing 2022,SVK,1,0,1
Olympic Winter Games Beijing 2022,CZE,1,0,1
Olympic Winter Games Beijing 2022,BLR,0,2,0
Olympic Winter Games Beijing 2022,ESP,0,1,0
Olympic Winter Games Beijing 2022,UKR,0,1,0
Olympic Winter Games Beijing 2022,POL,0,0,1
Olympic Winter Games Beijing 2022,LAT,0,0,1
Olympic Winter Games Beijing 2022,EST,0,0,1
Olympic Games Tokyo 2020,USA,39,41,33
Olympic Games Tokyo 2020,CHN,38,32,19
Olympic Games Tokyo 2020,JPN,27,14,17
Olympic Games Tokyo 2020,GBR,22,20,22
Olympic Games Tokyo 2020,ROC,20,28,23
Olympic Games Tokyo 2020,AUS,17,7,22
Olympic Games Tokyo 2020,NED,10,12,14
Olympic Games Tokyo 2020,FRA,10,12,11
Olympic Games Tokyo 2020,GER,10,11,16
Olympic Games Tokyo 2020,ITA,10,10,20
Olympic Games Tokyo 2020,CAN,7,7,10
Olympic Games Tokyo 2020,BRA,7,6,8
Olympic Games Tokyo 2020,NZL,7,6,7
Olympic Games Tokyo 2020,CUB,7,3,5
Olympic Games Tokyo 2020,HUN,6,7,7
Olympic Games Tokyo 2020,KOR,6,4,10
Olympic Games Tokyo 2020,POL,4,5,5
Olympic Games Tokyo 2020,CZE,4,4,3
Olympic Games Tokyo 2020,KEN,4,4,2
Olympic Games Tokyo 2020,NOR,4,2,2
Olympic Games Tokyo 2020,JAM,4,1,4
Olympic Games Tokyo 2020,ESP,3,8,6
Olympic Games Tokyo 2020,SWE,3,6,0
Olympic Games Tokyo 2020,SUI,3,4,6
Olympic Games Tokyo 2020,DEN,3,4,4
Olympic Games Tokyo 2020,CRO,3,3,2
Olympic Games Tokyo 2020,IRI,3,2,2
Olympic Games Tokyo 2020,SRB,3,1,5
Olympic Games Tokyo 2020,BEL,3,1,3
Olympic Games Tokyo 2020,BUL,3,1,2
Olympic Games Tokyo 2020,SLO,3,1,1
Olympic Games Tokyo 2020,UZB,3,0,2
Olympic Games Tokyo 2020,GEO,2,5,1
Olympic Games Tokyo 2020,TPE,2,4,6
Olympic Games Tokyo 2020,TUR,2,2,9
Olympic Games Tokyo 2020,GRE,2,1,1
Olympic Games Tokyo 2020,UGA,2,1,1
Olympic Games Tokyo 2020,ECU,2,1,0
Olympic Games Tokyo 2020,IRL,2,0,2
Olympic Games Tokyo 2020,ISR,2,0,2
Olympic Games Tokyo 2020,QAT,2,0,1
Olympic Games Tokyo 2020,KOS,2,0,0
Olympic Games Tokyo 2020,BAH,2,0,0
Olympic Games Tokyo 2020,UKR,1,6,12
Olympic Games Tokyo 2020,BLR,1,3,3
Olympic Games Tokyo 2020,ROU,1,3,0
Olympic Games Tokyo 2020,VEN,1,3,0
Olympic Games Tokyo 2020,IND,1,2,4
Olympic Games Tokyo 2020,HKG,1,2,3
Olympic Games Tokyo 2020,PHI,1,2,1
Olympic Games Tokyo 2020,SVK,1,2,1
Olympic Games Tokyo 2020,RSA,1,2,0
Olympic Games Tokyo 2020,AUT,1,1,5
Olympic Games Tokyo 2020,EGY,1,1,4
Olympic Games Tokyo 2020,INA,1,1,3
Olympic Games Tokyo 2020,POR,1,1,2
Olympic Games Tokyo 2020,ETH,1,1,2
Olympic Games Tokyo 2020,TUN,1,1,0
Olympic Games Tokyo 2020,THA,1,0,1
Olympic Games Tokyo 2020,LAT,1,0,1
Olympic Games Tokyo 2020,FIJ,1,0,1
Olympic Games Tokyo 2020,EST,1,0,1
Olympic Games Tokyo 2020,BER,1,0,0
Olympic Games Tokyo 2020,PUR,1,0,0
Olympic Games Tokyo 2020,MAR,1,0,0
Olympic Games Tokyo 2020,COL,0,4,1
Olympic Games Tokyo 2020,AZE,0,3,4
Olympic Games Tokyo 2020,DOM,0,3,2
Olympic Games Tokyo 2020,ARM,0,2,2
Olympic Games Tokyo 2020,KGZ,0,2,1
Olympic Games Tokyo 2020,MGL,0,1,3
Olympic Games Tokyo 2020,SMR,0,1,2
Olympic Games Tokyo 2020,ARG,0,1,2
Olympic Games Tokyo 2020,MAS,0,1,1
Olympic Games Tokyo 2020,NGR,0,1,1
Olympic Games Tokyo 2020,JOR,0,1,1
Olympic Games Tokyo 2020,TKM,0,1,0
Olympic Games Tokyo 2020,KSA,0,1,0
Olympic Games Tokyo 2020,MKD,0,1,0
Olympic Games Tokyo 2020,BRN,0,1,0
Olympic Games Tokyo 2020,NAM,0,1,0
Olympic Games Tokyo 2020,LTU,0,1,0
Olympic Games Tokyo 2020,KAZ,0,0,8
Olympic Games Tokyo 2020,MEX,0,0,4
Olympic Games Tokyo 2020,FIN,0,0,2
Olympic Games Tokyo 2020,GHA,0,0,1
Olympic Games Tokyo 2020,SYR,0,0,1
Olympic Games Tokyo 2020,KUW,0,0,1
Olympic Games Tokyo 2020,CIV,0,0,1
Olympic Games Tokyo 2020,GRN,0,0,1
Olympic Games Tokyo 2020,BUR,0,0,1
Olympic Games Tokyo 2020,BOT,0,0,1
Olympic Games Tokyo 2020,MDA,0,0,1
Olympic Winter Games PyeongChang 2018,NOR,14,14,11
Olympic Winter Games PyeongChang 2018,GER,14,10,7
Olympic Winter Games PyeongChang 2018,CAN,11,8,10
Olympic Winter Games PyeongChang 2018,USA,9,8,6
Olympic Winter Games PyeongChang 2018,NED,8,6,6
Olympic Winter Games PyeongChang 2018,SWE,7,6,1
Olympic Winter Games PyeongChang 2018,KOR,5,8,4
Olympic Winter Games PyeongChang 2018,SUI,5,6,4
Olympic Winter Games PyeongChang 2018,FRA,5,4,6
Olympic Winter Games PyeongChang 2018,AUT,5,3,6
Olympic Winter Games PyeongChang 2018,JPN,4,5,4
Olympic Winter Games PyeongChang 2018,ITA,3,2,5
Olympic Winter Games PyeongChang 2018,OAR,2,6,9
Olympic Winter Games PyeongChang 2018,CZE,2,2,3
Olympic Winter Games PyeongChang 2018,BLR,2,1,0
Olympic Winter Games PyeongChang 2018,CHN,1,6,2
Olympic Winter Games PyeongChang 2018,SVK,1,2,0
Olympic Winter Games PyeongChang 2018,FIN,1,1,4
Olympic Winter Games PyeongChang 2018,GBR,1,0,4
Olympic Winter Games PyeongChang 2018,POL,1,0,1
Olympic Winter Games PyeongChang 2018,HUN,1,0,0
Olympic Winter Games PyeongChang 2018,UKR,1,0,0
Olympic Winter Games PyeongChang 2018,AUS,0,2,1
Olympic Winter Games PyeongChang 2018,SLO,0,1,1
Olympic Winter Games PyeongChang 2018,BEL,0,1,0
Olympic Winter Games PyeongChang 2018,ESP,0,0,2
Olympic Winter Games PyeongChang 2018,NZL,0,0,2
Olympic Winter Games PyeongChang 2018,LIE,0,0,1
Olympic Winter Games PyeongChang 2018,LAT,0,0,1
Olympic Winter Games PyeongChang 2018,KAZ,0,0,1
Olympic Games Rio 2016,USA,46,37,38
Olympic Games Rio 2016,GBR,27,23,17
Olympic Games Rio 2016,CHN,26,18,26
Olympic Games Rio 2016,RUS,19,17,20
Olympic Games Rio 2016,GER,17,10,15
Olympic Games Rio 2016,JPN,12,8,21
Olympic Games Rio 2016,FRA,10,18,14
Olympic Games Rio 2016,KOR,9,3,9
Olympic Games Rio 2016,ITA,8,12,8
Olympic Games Rio 2016,AUS,8,11,10
Olympic Games Rio 2016,NED,8,7,4
Olympic Games Rio 2016,HUN,8,3,4
Olympic Games Rio 2016,BRA,7,6,6
Olympic Games Rio 2016,ESP,7,4,6
Olympic Games Rio 2016,KEN,6,6,1
Olympic Games Rio 2016,JAM,6,3,2
Olympic Games Rio 2016,CRO,5,3,2
Olympic Games Rio 2016,CUB,5,2,4
Olympic Games Rio 2016,NZL,4,9,5
Olympic Games Rio 2016,CAN,4,3,15
Olympic Games Rio 2016,UZB,4,2,7
Olympic Games Rio 2016,COL,3,2,3
Olympic Games Rio 2016,SUI,3,2,2
Olympic Games Rio 2016,IRI,3,1,4
Olympic Games Rio 2016,GRE,3,1,2
Olympic Games Rio 2016,ARG,3,1,0
Olympic Games Rio 2016,DEN,2,6,7
Olympic Games Rio 2016,SWE,2,6,3
Olympic Games Rio 2016,RSA,2,6,2
Olympic Games Rio 2016,KAZ,2,5,10
Olympic Games Rio 2016,UKR,2,5,4
Olympic Games Rio 2016,SRB,2,4,2
Olympic Games Rio 2016,POL,2,3,6
Olympic Games Rio 2016,PRK,2,3,2
Olympic Games Rio 2016,THA,2,2,2
Olympic Games Rio 2016,BEL,2,2,2
