Event,Country,Athlete,Sport,Gold,Silver,Bronze
Beijing 2022,NED,Yara Van Kerkhof,Short Track Speed Skating,1,0,0
Beijing 2022,USA,Alexander Hall,Freestyle Skiing,1,0,0
Beijing 2022,SWE,Nils Van Der Poel,Speed skating,1,0,0
Beijing 2022,SWE,Mona Brorsson,Biathlon,1,0,0
Beijing 2022,CAN,Pascal Dion,Short Track Speed Skating,1,0,0
Beijing 2022,ROC,Veronika Stepanova,Cross Country Skiing,1,0,0
Beijing 2022,FIN,Valtteri Kemilainen,Ice Hockey,1,0,0
Beijing 2022,ITA,Amos Mosaner,Curling,1,0,0
Beijing 2022,AUT,Benjamin Karl,Snowboard,1,0,0
Beijing 2022,CAN,Charles Hamelin,Short Track Speed Skating,1,0,0
Beijing 2022,GER,Candy Bauer,Bobsleigh,1,0,0
Beijing 2022,NOR,Erik Valnes,Cross Country Skiing,1,0,0
Beijing 2022,GER,Tobias Arlt,Luge,1,0,0
Beijing 2022,CAN,Natalie Spooner,Ice Hockey,1,0,0
Beijing 2022,CAN,Maxime Laoun,Short Track Speed Skating,1,0,0
Beijing 2022,AUT,Alessandro Haemmerle,Snowboard,1,0,0
Beijing 2022,SWE,Sandra Naeslund,Freestyle Skiing,1,0,0
Beijing 2022,SWE,Walter Wallberg,Freestyle Skiing,1,0,0
Beijing 2022,FIN,Niko Ojamaki,Ice Hockey,1,0,0
Beijing 2022,CAN,Sarah Nurse,Ice Hockey,1,0,0
Beijing 2022,CAN,Ella Shelton,Ice Hockey,1,0,0
Beijing 2022,USA,Madison Chock,Figure skating,1,0,0
Beijing 2022,AUT,Katharina Liensberger,Alpine Skiing,1,0,0
Beijing 2022,NED,Thomas Krol,Speed skating,1,0,0
Beijing 2022,CHN,Tingyu Gao,Speed skating,1,0,0
Beijing 2022,NED,Suzanne Schulting,Short Track Speed Skating,1,0,0
Beijing 2022,FIN,Iivo Niskanen,Cross Country Skiing,1,0,0
Beijing 2022,CAN,Isabelle Weidemann,Speed skating,1,0,0
Beijing 2022,FIN,Mikko Lehtonen,Ice Hockey,1,0,0
Beijing 2022,USA,Chloe Kim,Snowboard,1,0,0
Beijing 2022,USA,Erin Jackson,Speed skating,1,0,0
Beijing 2022,FIN,Harri Sateri,Ice Hockey,1,0,0
Beijing 2022,FRA,Clement Noel,Alpine Skiing,1,0,0
Beijing 2022,FIN,Sakari Manninen,Ice Hockey,1,0,0
Beijing 2022,GER,Christopher Grotheer,Skeleton,1,0,0
